state,year,PM25
AK,1999,70.72727272727273
AK,2000,100.38461538461539
AK,2001,108.45454545454545
AK,2002,113.66666666666667
AK,2003,70.83333333333333
AK,2004,75.25
AK,2005,74.71428571428571
AK,2006,81.4
AK,2007,93.16666666666667
AK,2008,99.22222222222223
AK,2009,146.2
AK,2010,158.76470588235293
AK,2011,152.0952380952381
AK,2012,186.25
AK,2013,152.42857142857142
AL,1999,101.70370370370371
AL,2000,99.97058823529412
AL,2001,98.61764705882354
AL,2002,91.86842105263158
AL,2003,102.45945945945945
AL,2004,102.39622641509433
AL,2005,104.97435897435898
AL,2006,103.17948717948718
AL,2007,123.9278350515464
AL,2008,132.35294117647058
AL,2009,126.85714285714286
AL,2010,146.625
AL,2011,113.11764705882354
AL,2012,108.25
AL,2013,106.10714285714286
AR,1999,35.13636363636363
AR,2000,80.1
AR,2001,89.51612903225806
AR,2002,110.77777777777777
AR,2003,105.18518518518519
AR,2004,124.6
AR,2005,122.10526315789474
AR,2006,127.26315789473684
AR,2007,135.87878787878788
AR,2008,126.6
AR,2009,126.95
AR,2010,128.95
AR,2011,114.75
AR,2012,104.38888888888889
AR,2013,125.6923076923077
AZ,1999,103.68181818181819
AZ,2000,92.08
AZ,2001,102.52631578947368
AZ,2002,81.04166666666667
AZ,2003,97.92857142857143
AZ,2004,99.64285714285714
AZ,2005,95.82352941176471
AZ,2006,96.42857142857143
AZ,2007,86.26086956521739
AZ,2008,75.11538461538461
AZ,2009,78.27777777777777
AZ,2010,92.44827586206897
AZ,2011,155.5
AZ,2012,145.77777777777777
AZ,2013,163.94594594594594
CA,1999,90.1304347826087
CA,2000,108.50862068965517
CA,2001,105.70434782608696
CA,2002,110.26086956521739
CA,2003,116.04724409448819
CA,2004,116.85344827586206
CA,2005,113.7433628318584
CA,2006,117.75193798449612
CA,2007,116.36046511627907
CA,2008,106.71195652173913
CA,2009,136.69014084507043
CA,2010,163.06474820143885
CA,2011,177.68382352941177
CA,2012,184.30769230769232
CA,2013,211.02808988764045
CO,1999,59.421052631578945
CO,2000,98.76
CO,2001,90.28571428571429
CO,2002,99.69565217391305
CO,2003,91.08571428571429
CO,2004,98.63636363636364
CO,2005,105.20833333333333
CO,2006,117.13636363636364
CO,2007,123.33333333333333
CO,2008,123.52631578947368
CO,2009,136.30434782608697
CO,2010,119.875
CO,2011,126.5909090909091
CO,2012,109.78260869565217
CO,2013,127.58333333333333
CT,1999,90.6
CT,2000,113.23529411764706
CT,2001,123.47058823529412
CT,2002,119.01960784313725
CT,2003,111.75
CT,2004,137.05882352941177
CT,2005,116.6875
CT,2006,131.46666666666667
CT,2007,168.0
CT,2008,166.8125
CT,2009,166.875
CT,2010,154.0
CT,2011,141.0
CT,2012,143.92307692307693
CT,2013,149.0
DC,1999,189.44444444444446
DC,2000,154.06666666666666
DC,2001,180.46666666666667
DC,2002,186.2
DC,2003,186.07692307692307
DC,2004,217.75
DC,2005,172.6
DC,2006,264.0
DC,2007,211.5
DC,2008,218.75
DC,2009,222.0
DC,2010,212.5
DC,2011,232.6
DC,2012,281.42857142857144
DC,2013,259.8
DE,1999,102.36363636363636
DE,2000,156.77777777777777
DE,2001,159.0
DE,2002,156.25925925925927
DE,2003,127.25
DE,2004,138.25
DE,2005,138.5
DE,2006,131.875
DE,2007,133.375
DE,2008,129.125
DE,2009,131.75
DE,2010,157.77777777777777
DE,2011,153.66666666666666
DE,2012,153.9
DE,2013,168.07692307692307
FL,1999,168.25
FL,2000,204.06896551724137
FL,2001,201.9848484848485
FL,2002,204.375
FL,2003,204.44117647058823
FL,2004,145.7872340425532
FL,2005,156.2906976744186
FL,2006,165.36363636363637
FL,2007,174.48739495798318
FL,2008,191.32584269662922
FL,2009,156.21818181818182
FL,2010,157.22916666666666
FL,2011,349.0
FL,2012,110.30952380952381
FL,2013,117.71794871794872
GA,1999,104.6923076923077
GA,2000,106.75862068965517
GA,2001,111.19354838709677
GA,2002,122.6923076923077
GA,2003,106.75757575757575
GA,2004,119.73333333333333
GA,2005,118.17241379310344
GA,2006,112.44117647058823
GA,2007,131.65060240963857
GA,2008,127.02702702702703
