state,year,death
AK,1999,146
AK,2000,132
AK,2001,147
AK,2002,142
AK,2003,147
AK,2004,139
AK,2005,158
AK,2006,140
AK,2007,175
AK,2008,181
AK,2009,196
AK,2010,176
AK,2011,194
AK,2012,189
AK,2013,197
AL,1999,2179
AL,2000,2057
AL,2001,2204
AL,2002,2328
AL,2003,2434
AL,2004,2361
AL,2005,2382
AL,2006,2309
AL,2007,2530
AL,2008,2733
AL,2009,2770
AL,2010,2866
AL,2011,2912
AL,2012,3015
AL,2013,3043
AR,1999,1358
AR,2000,1405
AR,2001,1368
AR,2002,1441
AR,2003,1500
AR,2004,1428
AR,2005,1559
AR,2006,1498
AR,2007,1656
AR,2008,1887
AR,2009,1831
AR,2010,1773
AR,2011,1985
AR,2012,1910
AR,2013,2090
AZ,1999,2553
AZ,2000,2508
AZ,2001,2499
AZ,2002,2575
AZ,2003,2560
AZ,2004,2416
AZ,2005,2821
AZ,2006,2799
AZ,2007,2686
AZ,2008,2939
AZ,2009,2839
AZ,2010,2926
AZ,2011,3166
AZ,2012,3221
AZ,2013,3345
CA,1999,13165
CA,2000,12756
CA,2001,12965
CA,2002,12684
CA,2003,13448
CA,2004,12522
CA,2005,13188
CA,2006,12829
CA,2007,12532
CA,2008,13426
CA,2009,12936
CA,2010,12987
CA,2011,13357
CA,2012,12963
CA,2013,13598
CO,1999,1894
CO,2000,1787
CO,2001,1836
CO,2002,1848
CO,2003,1931
CO,2004,1899
CO,2005,1914
CO,2006,1932
CO,2007,2002
CO,2008,2188
CO,2009,2073
CO,2010,2199
CO,2011,2151
CO,2012,2239
CO,2013,2297
CT,1999,1435
CT,2000,1533
CT,2001,1486
CT,2002,1453
CT,2003,1445
CT,2004,1432
CT,2005,1471
CT,2006,1458
CT,2007,1353
CT,2008,1505
CT,2009,1448
CT,2010,1289
CT,2011,1415
CT,2012,1387
CT,2013,1348
DC,1999,166
DC,2000,175
DC,2001,150
DC,2002,133
DC,2003,137
DC,2004,165
DC,2005,132
DC,2006,126
DC,2007,129
DC,2008,139
DC,2009,136
DC,2010,147
DC,2011,151
DC,2012,139
DC,2013,150
DE,1999,327
DE,2000,341
DE,2001,306
DE,2002,350
DE,2003,339
DE,2004,345
DE,2005,411
DE,2006,344
DE,2007,379
DE,2008,472
DE,2009,428
DE,2010,441
DE,2011,460
DE,2012,420
DE,2013,482
FL,1999,9131
FL,2000,8645
FL,2001,8954
FL,2002,9062
FL,2003,9087
FL,2004,8971
FL,2005,9482
FL,2006,8912
FL,2007,9357
FL,2008,10198
FL,2009,10182
FL,2010,10337
FL,2011,10279
FL,2012,10585
FL,2013,11379
GA,1999,3056
GA,2000,3067
GA,2001,3097
GA,2002,3163
GA,2003,3254
GA,2004,3125
GA,2005,3411
GA,2006,3387
GA,2007,3384
GA,2008,3546
GA,2009,3736
GA,2010,3816
GA,2011,3837
GA,2012,3977
GA,2013,4172
HI,1999,290
HI,2000,278
HI,2001,280
HI,2002,265
HI,2003,287
HI,2004,307
HI,2005,287
HI,2006,293
HI,2007,299
HI,2008,293
HI,2009,303
HI,2010,296
HI,2011,318
HI,2012,312
HI,2013,279
IA,1999,1643
IA,2000,1512
IA,2001,1552
IA,2002,1580
IA,2003,1674
IA,2004,1547
IA,2005,1703
IA,2006,1655
IA,2007,1660
IA,2008,1848
IA,2009,1832
IA,2010,1698
IA,2011,1833
IA,2012,1824
IA,2013,1892
ID,1999,568
ID,2000,569
ID,2001,581
ID,2002,595
ID,2003,601
ID,2004,572
ID,2005,717
ID,2006,644
ID,2007,666
ID,2008,703
ID,2009,725
ID,2010,727
ID,2011,824
ID,2012,754
ID,2013,808
IL,1999,5155
IL,2000,4768
IL,2001,4776
IL,2002,4827
IL,2003,4858
IL,2004,4723
IL,2005,5067
IL,2006,4731
IL,2007,4742
IL,2008,5602
IL,2009,5299
IL,2010,5231
IL,2011,5390
IL,2012,5313
IL,2013,5532
IN,1999,3053
IN,2000,3052
IN,2001,3136
IN,2002,3138
IN,2003,3264
IN,2004,3145
IN,2005,3471
IN,2006,3291
IN,2007,3227
IN,2008,3878
IN,2009,3745
IN,2010,3794
IN,2011,4064
IN,2012,3962
IN,2013,4266
KS,1999,1386
KS,2000,1411
KS,2001,1444
KS,2002,1367
KS,2003,1443
KS,2004,1316
KS,2005,1567
KS,2006,1501
KS,2007,1476
KS,2008,1626
KS,2009,1580
