state,year,nHospital
AK,1999,17
AK,2000,18
AK,2001,19
AK,2002,19
AK,2003,19
AK,2004,19
AK,2005,22
AK,2006,22
AK,2007,22
AK,2008,22
AK,2009,22
AK,2010,22
AK,2011,23
AK,2012,23
AK,2013,22
AL,1999,109
AL,2000,108
AL,2001,107
AL,2002,106
AL,2003,107
AL,2004,108
AL,2005,109
AL,2006,109
AL,2007,109
AL,2008,109
AL,2009,108
AL,2010,105
AL,2011,102
AL,2012,97
AL,2013,97
AR,1999,83
AR,2000,83
AR,2001,83
AR,2002,87
AR,2003,88
AR,2004,87
AR,2005,85
AR,2006,84
AR,2007,84
AR,2008,86
AR,2009,86
AR,2010,85
AR,2011,84
AR,2012,83
AR,2013,84
AZ,1999,61
AZ,2000,61
AZ,2001,61
AZ,2002,61
AZ,2003,61
AZ,2004,62
AZ,2005,67
AZ,2006,66
AZ,2007,66
AZ,2008,71
AZ,2009,72
AZ,2010,73
AZ,2011,70
AZ,2012,72
AZ,2013,72
CA,1999,395
CA,2000,389
CA,2001,384
CA,2002,383
CA,2003,370
CA,2004,361
CA,2005,357
CA,2006,357
CA,2007,355
CA,2008,352
CA,2009,343
CA,2010,343
CA,2011,345
CA,2012,349
CA,2013,347
CO,1999,67
CO,2000,69
CO,2001,66
CO,2002,68
CO,2003,68
CO,2004,70
CO,2005,71
CO,2006,73
CO,2007,75
CO,2008,78
CO,2009,81
CO,2010,80
CO,2011,82
CO,2012,82
CO,2013,82
CT,1999,35
CT,2000,35
CT,2001,35
CT,2002,35
CT,2003,34
CT,2004,35
CT,2005,36
CT,2006,35
CT,2007,34
CT,2008,35
CT,2009,35
CT,2010,34
CT,2011,35
CT,2012,34
CT,2013,33
DC,1999,12
DC,2000,11
DC,2001,10
DC,2002,10
DC,2003,10
DC,2004,11
DC,2005,11
DC,2006,11
DC,2007,10
DC,2008,10
DC,2009,10
DC,2010,11
DC,2011,11
DC,2012,11
DC,2013,11
DE,1999,6
DE,2000,5
DE,2001,5
DE,2002,6
DE,2003,6
DE,2004,6
DE,2005,6
DE,2006,6
DE,2007,6
DE,2008,7
DE,2009,7
DE,2010,7
DE,2011,7
DE,2012,7
DE,2013,7
FL,1999,203
FL,2000,202
FL,2001,202
FL,2002,202
FL,2003,203
FL,2004,203
FL,2005,205
FL,2006,203
FL,2007,200
FL,2008,211
FL,2009,210
FL,2010,210
FL,2011,213
FL,2012,216
FL,2013,212
GA,1999,154
GA,2000,151
GA,2001,147
GA,2002,146
GA,2003,146
GA,2004,146
GA,2005,149
GA,2006,147
GA,2007,147
GA,2008,153
GA,2009,152
GA,2010,154
GA,2011,153
GA,2012,148
GA,2013,144
HI,1999,22
HI,2000,21
HI,2001,23
HI,2002,25
HI,2003,24
HI,2004,24
HI,2005,25
HI,2006,24
HI,2007,23
HI,2008,25
HI,2009,25
HI,2010,26
HI,2011,23
HI,2012,24
HI,2013,25
IA,1999,115
IA,2000,115
IA,2001,116
IA,2002,116
IA,2003,116
IA,2004,115
IA,2005,116
IA,2006,117
IA,2007,117
IA,2008,118
IA,2009,118
IA,2010,118
IA,2011,118
IA,2012,118
IA,2013,118
ID,1999,42
ID,2000,42
ID,2001,40
ID,2002,39
ID,2003,39
ID,2004,39
ID,2005,39
ID,2006,38
ID,2007,39
ID,2008,39
ID,2009,41
ID,2010,41
ID,2011,40
ID,2012,40
ID,2013,40
IL,1999,198
IL,2000,196
IL,2001,192
IL,2002,192
IL,2003,192
IL,2004,191
IL,2005,191
IL,2006,190
IL,2007,190
IL,2008,191
IL,2009,189
IL,2010,189
IL,2011,188
IL,2012,188
IL,2013,189
IN,1999,111
IN,2000,109
IN,2001,110
IN,2002,112
IN,2003,112
IN,2004,113
IN,2005,113
IN,2006,114
IN,2007,114
IN,2008,123
IN,2009,123
IN,2010,125
IN,2011,125
IN,2012,124
IN,2013,123
KS,1999,131
KS,2000,129
KS,2001,133
KS,2002,132
KS,2003,134
KS,2004,134
KS,2005,131
KS,2006,129
KS,2007,128
KS,2008,132
KS,2009,133
KS,2010,130
KS,2011,132
KS,2012,131
KS,2013,130
KY,1999,105
KY,2000,105
KY,2001,103
KY,2002,104
KY,2003,103
KY,2004,105
KY,2005,105
KY,2006,104
KY,2007,104
KY,2008,105
KY,2009,104
KY,2010,106
KY,2011,106
KY,2012,106
KY,2013,106
LA,1999,122
LA,2000,123
LA,2001,125
LA,2002,128
LA,2003,127
LA,2004,131
LA,2005,128
LA,2006,132
LA,2007,129
LA,2008,130
LA,2009,128
LA,2010,126
LA,2011,127
LA,2012,124
LA,2013,122
MA,1999,79
MA,2000,80
MA,2001,80
MA,2002,78
MA,2003,79
MA,2004,78
MA,2005,80
MA,2006,80
MA,2007,78
MA,2008,75
MA,2009,78
MA,2010,79
MA,2011,79
MA,2012,83
MA,2013,82
MD,1999,49
MD,2000,49
MD,2001,49
MD,2002,49
MD,2003,51
MD,2004,50
MD,2005,50
MD,2006,50
MD,2007,49
MD,2008,50
MD,2009,49
MD,2010,47
MD,2011,48
MD,2012,50
MD,2013,50
ME,1999,37
ME,2000,37
ME,2001,37
ME,2002,37
ME,2003,37
ME,2004,37
ME,2005,37
ME,2006,37
ME,2007,37
ME,2008,37
ME,2009,37
ME,2010,37
ME,2011,37
ME,2012,37
ME,2013,35
MI,1999,145
MI,2000,146
MI,2001,145
MI,2002,145
MI,2003,144
MI,2004,144
MI,2005,146
MI,2006,142
MI,2007,143
MI,2008,153
MI,2009,158
MI,2010,156
MI,2011,153
MI,2012,151
MI,2013,151
MN,1999,134
MN,2000,135
MN,2001,133
MN,2002,133
MN,2003,131
MN,2004,132
MN,2005,133
MN,2006,131
MN,2007,131
MN,2008,130
MN,2009,132
MN,2010,133
MN,2011,132
MN,2012,133
MN,2013,131
MO,1999,118
MO,2000,119
MO,2001,117
MO,2002,119
MO,2003,119
MO,2004,119
MO,2005,119
MO,2006,119
MO,2007,117
MO,2008,123
MO,2009,125
MO,2010,122
MO,2011,120
MO,2012,123
MO,2013,123
MS,1999,96
MS,2000,95
MS,2001,96
