state,year,smokingRate
AK,1999,26.7
AK,2001,23.7
AK,2002,23.7
AK,2003,24.4
AK,2006,22.7
AK,2007,22.7
AK,2010,19.6
AK,2011,19.6
AK,2012,20.5
AK,2013,22.6
AL,1999,22.3
AL,2001,22.2
AL,2002,22.2
AL,2003,19.1
AL,2006,21.2
AL,2007,21.2
AL,2010,17.9
AL,2011,17.9
AL,2012,23.8
AL,2013,21.5
AR,1999,26.0
AR,2001,24.8
AR,2002,24.8
AR,2003,26.1
AR,2006,23.9
AR,2007,23.9
AR,2010,21.6
AR,2011,21.6
AR,2012,25.0
AR,2013,25.9
AZ,1999,19.9
AZ,2001,19.3
AZ,2002,19.3
AZ,2003,17.5
AZ,2006,17.6
AZ,2007,17.6
AZ,2010,13.9
AZ,2011,13.9
AZ,2012,17.1
AZ,2013,16.3
CA,1999,16.6
CA,2001,14.6
CA,2002,14.6
CA,2003,13.2
CA,2006,12.0
CA,2007,12.0
CA,2010,10.3
CA,2011,10.3
CA,2012,12.6
CA,2013,12.5
CO,1999,20.2
CO,2001,19.6
CO,2002,19.6
CO,2003,18.3
CO,2006,16.2
CO,2007,16.2
CO,2010,13.3
CO,2011,13.3
CO,2012,17.7
CO,2013,17.7
CT,1999,20.6
CT,2001,18.2
CT,2002,18.2
CT,2003,15.5
CT,2006,15.4
CT,2007,15.4
CT,2010,13.2
CT,2011,13.2
CT,2012,16.0
CT,2013,15.5
DC,1999,23.5
DC,2001,18.1
DC,2002,18.1
DC,2003,16.3
DC,2006,15.1
DC,2007,15.1
DC,2010,11.8
DC,2011,11.8
DC,2012,19.6
DC,2013,18.8
DE,1999,23.3
DE,2001,20.3
DE,2002,20.3
DE,2003,19.0
DE,2006,17.8
DE,2007,17.8
DE,2010,15.9
DE,2011,15.9
DE,2012,19.7
DE,2013,19.6
FL,1999,20.7
FL,2001,19.3
FL,2002,19.3
FL,2003,17.4
FL,2006,15.8
FL,2007,15.8
FL,2010,14.2
FL,2011,14.2
FL,2012,17.7
FL,2013,16.8
GA,1999,19.9
GA,2001,21.2
GA,2002,21.2
GA,2003,17.5
GA,2006,17.9
GA,2007,17.9
GA,2010,15.0
GA,2011,15.0
GA,2012,20.4
GA,2013,18.8
GU,2012,25.8
GU,2013,26.5
HI,1999,18.3
HI,2001,19.0
HI,2002,19.0
HI,2003,16.2
HI,2006,15.3
HI,2007,15.3
HI,2010,13.5
HI,2011,13.5
HI,2012,14.6
HI,2013,13.3
IA,1999,22.4
IA,2001,21.8
IA,2002,21.8
IA,2003,19.3
IA,2006,21.1
IA,2007,21.1
IA,2010,18.5
IA,2011,18.5
IA,2012,18.1
IA,2013,19.5
ID,1999,21.8
ID,2001,21.4
ID,2002,21.4
ID,2003,21.0
ID,2006,15.1
ID,2007,15.1
ID,2010,14.9
ID,2011,14.9
ID,2012,16.4
ID,2013,17.2
IL,1999,22.9
IL,2001,21.8
IL,2002,21.8
IL,2003,19.0
IL,2006,18.3
IL,2007,18.3
IL,2010,16.3
IL,2011,16.3
IL,2012,18.6
IL,2013,18.0
IN,1999,27.0
IN,2001,24.7
IN,2002,24.7
IN,2003,23.2
IN,2006,24.4
IN,2007,24.4
IN,2010,19.5
IN,2011,19.5
IN,2012,24.0
IN,2013,21.9
KS,1999,22.5
KS,2001,22.5
KS,2002,22.5
KS,2003,21.1
KS,2006,20.3
KS,2007,20.3
KS,2010,17.5
KS,2011,17.5
KS,2012,19.4
KS,2013,20.0
KY,1999,29.8
KY,2001,27.1
KY,2002,27.1
KY,2003,26.8
KY,2006,27.4
KY,2007,27.4
KY,2010,24.3
KY,2011,24.3
KY,2012,28.3
KY,2013,26.5
LA,1999,22.7
LA,2001,21.3
LA,2002,21.3
LA,2003,22.4
LA,2006,19.9
LA,2007,19.9
LA,2010,18.6
LA,2011,18.6
LA,2012,24.8
LA,2013,23.5
MA,1999,19.3
MA,2001,15.9
MA,2002,15.9
MA,2003,16.0
MA,2006,14.6
MA,2007,14.6
MA,2010,11.9
MA,2011,11.9
MA,2012,16.4
MA,2013,16.6
MD,1999,19.5
MD,2001,17.6
MD,2002,17.6
MD,2003,16.2
MD,2006,15.5
MD,2007,15.5
MD,2010,12.0
MD,2011,12.0
MD,2012,16.2
MD,2013,16.4
ME,1999,23.5
ME,2001,21.6
ME,2002,21.6
ME,2003,21.5
ME,2006,21.2
ME,2007,21.2
ME,2010,17.3
ME,2011,17.3
ME,2012,20.3
ME,2013,20.2
MI,1999,23.4
MI,2001,23.6
MI,2002,23.6
MI,2003,22.4
MI,2006,19.4
MI,2007,19.4
MI,2010,17.2
MI,2011,17.2
MI,2012,23.3
MI,2013,21.4
MN,1999,21.2
MN,2001,20.7
MN,2002,20.7
MN,2003,19.0
MN,2006,18.4
MN,2007,18.4
MN,2010,14.9
MN,2011,14.9
MN,2012,18.8
MN,2013,18.0
MO,1999,23.5
MO,2001,25.0
MO,2002,25.0
MO,2003,24.0
MO,2006,23.7
MO,2007,23.7
MO,2010,22.6
MO,2011,22.6
MO,2012,23.9
MO,2013,22.1
MS,1999,21.5
MS,2001,23.7
MS,2002,23.7
MS,2003,20.3
MS,2006,20.1
MS,2007,20.1
MS,2010,17.7
MS,2011,17.7
MS,2012,24.0
MS,2013,24.8
MT,1999,23.3
MT,2001,21.3
MT,2002,21.3
MT,2003,21.9
MT,2006,17.9
MT,2007,17.9
MT,2010,17.5
MT,2011,17.5
MT,2012,19.7
MT,2013,19.0
NC,1999,23.0
NC,2001,24.0
NC,2002,24.0
NC,2003,21.8
NC,2006,19.9
NC,2007,19.9
NC,2010,17.6
NC,2011,17.6
NC,2012,20.9
NC,2013,20.3
ND,1999,20.5
ND,2001,22.9
ND,2002,22.9
ND,2003,20.7
ND,2006,19.0
ND,2007,19.0
ND,2010,17.1
ND,2011,17.1
ND,2012,21.2
ND,2013,21.2
NE,1999,21.2
NE,2001,21.4
NE,2002,21.4
NE,2003,21.5
NE,2006,19.0
NE,2007,19.0
NE,2010,16.1
NE,2011,16.1
NE,2012,19.7
NE,2013,18.5
NH,1999,22.0
NH,2001,23.2
NH,2002,23.2
NH,2003,18.2
NH,2006,16.5
NH,2007,16.5
NH,2010,14.4
NH,2011,14.4
NH,2012,17.2
NH,2013,16.2
NJ,1999,19.8
NJ,2001,18.2
NJ,2002,18.2
NJ,2003,15.0
NJ,2006,13.2
NJ,2007,13.2
NJ,2010,11.2
NJ,2011,11.2
NJ,2012,17.3
NJ,2013,15.7
NM,1999,20.9
NM,2001,20.3
NM,2002,20.3
NM,2003,19.1
NM,2006,19.2
NM,2007,19.2
NM,2010,14.8
NM,2011,14.8
NM,2012,19.3
NM,2013,19.1
NV,1999,24.1
NV,2001,22.4
NV,2002,22.4
NV,2003,18.0
NV,2006,18.1
NV,2007,18.1
NV,2010,16.9
NV,2011,16.9
NV,2012,18.1
NV,2013,19.4
NY,1999,20.5
NY,2001,18.9
NY,2002,18.9
NY,2003,17.6
NY,2006,15.1
NY,2007,15.1
NY,2010,12.4
NY,2011,12.4
NY,2012,16.2
NY,2013,16.6
OH,1999,24.0
OH,2001,24.6
OH,2002,24.6
OH,2003,21.6
OH,2006,22.5
OH,2007,22.5
OH,2010,21.0
OH,2011,21.0
OH,2012,23.3
OH,2013,23.4
OK,1999,27.5
OK,2001,25.3
OK,2002,25.3
OK,2003,22.4
OK,2006,23.5
OK,2007,23.5
OK,2010,23.0
OK,2011,23.0
OK,2012,23.3
OK,2013,23.7
OR,1999,21.2
OR,2001,19.5
OR,2002,19.5
OR,2003,19.3
OR,2006,17.9
OR,2007,17.9
OR,2010,14.6
OR,2011,14.6
OR,2012,17.9
OR,2013,17.3
PA,1999,22.9
PA,2001,21.8
PA,2002,21.8
PA,2003,18.9
PA,2006,19.1
PA,2007,19.1
PA,2010,16.5
PA,2011,16.5
PA,2012,21.4
PA,2013,21.0
PR,2012,12.6
PR,2013,10.8
RI,1999,19.9
RI,2001,19.1
RI,2002,19.1
RI,2003,19.2
RI,2006,17.0
RI,2007,17.0
RI,2010,15.9
RI,2011,15.9
RI,2012,17.4
RI,2013,17.4
SC,1999,22.7
SC,2001,21.4
SC,2002,21.4
SC,2003,22.6
SC,2006,20.9
SC,2007,20.9
SC,2010,17.4
SC,2011,17.4
SC,2012,22.5
SC,2013,22.0
SD,1999,24.1
SD,2001,20.9
SD,2002,20.9
SD,2003,19.9
SD,2006,20.2
SD,2007,20.2
SD,2010,19.7
SD,2011,19.7
SD,2012,22.0
SD,2013,19.6
TN,1999,26.0
TN,2001,26.1
TN,2002,26.1
TN,2003,22.7
TN,2006,23.5
TN,2007,23.5
TN,2010,21.2
TN,2011,21.2
TN,2012,24.9
TN,2013,24.3
TX,1999,20.9
TX,2001,19.6
TX,2002,19.6
TX,2003,18.2
TX,2006,16.9
TX,2007,16.9
TX,2010,15.0
TX,2011,15.0
TX,2012,18.2
TX,2013,15.9
UT,1999,13.7
UT,2001,12.0
UT,2002,12.0
UT,2003,11.5
UT,2006,12.1
UT,2007,12.1
UT,2010,10.3
UT,2011,10.3
UT,2012,10.6
UT,2013,10.3
VA,1999,20.8
VA,2001,21.9
VA,2002,21.9
VA,2003,16.9
VA,2006,16.3
VA,2007,16.3
VA,2010,14.3
VA,2011,14.3
VA,2012,19.0
VA,2013,19.0
VT,1999,22.3
VT,2001,23.4
VT,2002,23.4
VT,2003,20.9
VT,2006,19.9
VT,2007,19.9
VT,2010,15.9
VT,2011,15.9
VT,2012,16.5
VT,2013,16.6
WA,1999,20.1
WA,2001,20.9
WA,2002,20.9
WA,2003,20.3
WA,2006,17.7
WA,2007,17.7
WA,2010,15.4
WA,2011,15.4
WA,2012,17.2
WA,2013,16.1
WI,1999,24.5
WI,2001,22.9
WI,2002,22.9
WI,2003,20.6
WI,2006,20.9
WI,2007,20.9
WI,2010,16.5
WI,2011,16.5
WI,2012,20.4
WI,2013,18.7
WV,1999,26.4
WV,2001,25.3
WV,2002,25.3
WV,2003,23.7
WV,2006,25.1
WV,2007,25.1
WV,2010,22.8
WV,2011,22.8
WV,2012,28.2
WV,2013,27.3
WY,1999,23.7
WY,2001,23.2
WY,2002,23.2
WY,2003,20.7
WY,2006,23.9
WY,2007,23.9
WY,2010,20.7
WY,2011,20.7
WY,2012,21.8
WY,2013,20.6
