"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.4","20.0","22.8","7653","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.8","21.6","26.0","2932","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.2","17.5","20.9","4721","Female","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.9","21.7","24.1","7653","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.6","25.6","29.6","2932","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.6","17.1","20.1","4721","Female","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","55.7","54.1","57.3","7653","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","48.6","46.1","51.1","2932","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","62.2","60.3","64.1","4721","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.1","19.8","22.4","8368","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.5","21.3","25.7","2997","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.0","17.4","20.6","5371","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.6","23.4","25.8","8368","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","30.2","28.1","32.3","2997","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.4","18.0","20.8","5371","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","54.3","52.8","55.8","8368","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","46.3","43.8","48.8","2997","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","61.6","59.7","63.5","5371","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.5","19.9","23.1","6383","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.1","22.4","27.8","2161","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.2","16.5","19.9","4222","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.4","22.0","24.8","6383","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.9","25.5","30.3","2161","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.3","17.7","20.9","4222","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","55.1","53.3","56.9","6383","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","47.1","44.2","50.0","2161","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","62.5","60.4","64.6","4222","Female","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.8","22.4","25.2","8913","Overall","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.4","24.1","28.7","3026","Male","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.4","19.7","23.1","5887","Female","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.1","21.9","24.3","8913","Overall","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.4","25.3","29.5","3026","Male","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.2","17.8","20.6","5887","Female","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.1","51.5","54.7","8913","Overall","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","46.3","43.8","48.8","3026","Male","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","59.5","57.6","61.4","5887","Female","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.3","22.8","25.8","7660","Overall","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","28.0","25.6","30.4","2610","Male","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.0","19.3","22.7","5050","Female","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.1","23.8","26.4","7660","Overall","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","30.5","28.2","32.8","2610","Male","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.1","18.7","21.5","5050","Female","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.6","49.0","52.2","7660","Overall","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","41.5","38.9","44.1","2610","Male","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.8","56.9","60.7","5050","Female","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.1","17.0","21.2","3551","Overall","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.6","16.7","22.5","1638","Male","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.5","15.4","21.6","1913","Female","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.8","24.4","29.2","3551","Overall","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","28.8","25.5","32.1","1638","Male","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.6","21.2","28.0","1913","Female","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","54.1","51.4","56.8","3551","Overall","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","51.6","47.9","55.3","1638","Male","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.9","52.9","60.9","1913","Female","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.9","18.2","21.6","4226","Overall","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.3","18.7","23.9","1899","Male","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.4","16.2","20.6","2327","Female","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.7","23.9","27.5","4226","Overall","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.9","25.3","30.5","1899","Male","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.3","21.0","25.6","2327","Female","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","54.4","52.3","56.5","4226","Overall","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.9","47.8","54.0","1899","Male","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.3","55.5","61.1","2327","Female","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.6","20.8","24.4","4476","Overall","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.9","20.4","25.4","2081","Male","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.2","19.6","24.8","2395","Female","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.7","24.9","28.5","4476","Overall","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","28.9","26.3","31.5","2081","Male","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.4","21.9","26.9","2395","Female","All Ages","All Races","All Grades"
