"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.2","16.3","20.1","3727","Overall","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.7","17.4","22.0","1696","Male","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.8","14.3","19.3","2031","Female","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","16.0","14.5","17.5","3727","Overall","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.5","18.0","23.0","1696","Male","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","12.0","10.2","13.8","2031","Female","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","65.8","63.5","68.2","3727","Overall","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","59.8","56.5","63.1","1696","Male","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","71.3","68.6","73.9","2031","Female","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.9","15.1","20.7","2518","Overall","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","20.8","17.8","23.8","1133","Male","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","15.3","12.1","18.5","1385","Female","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","16.1","13.8","18.4","2518","Overall","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.9","18.5","23.3","1133","Male","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","11.7","9.1","14.3","1385","Female","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","66.0","61.5","70.5","2518","Overall","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.3","54.0","62.6","1133","Male","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","72.9","67.7","78.1","1385","Female","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.2","19.4","23.0","2580","Overall","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.1","21.4","26.8","1171","Male","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.6","16.3","20.9","1409","Female","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","17.2","15.6","18.8","2580","Overall","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.7","18.1","23.3","1171","Male","All Ages","All Races","All Grades"
