state,year,temperature
AK,1999,0.7
AK,2000,11.4
AK,2001,14.1
AK,2002,11.2
AK,2003,12.6
AK,2004,6.6
AK,2005,11.1
AK,2006,5.1
AK,2007,3.8
AK,2008,4.9
AK,2009,4.0
AK,2010,7.4
AK,2011,8.3
AK,2012,1.2
AK,2013,9.0
AL,1999,51.4
AL,2000,52.6
AL,2001,48.4
AL,2002,49.3
AL,2003,48.5
AL,2004,49.5
AL,2005,51.3
AL,2006,51.1
AL,2007,50.5
AL,2008,49.2
AL,2009,50.3
AL,2010,43.9
AL,2011,49.5
AL,2012,55.6
AL,2013,49.3
AR,1999,47.1
AR,2000,48.6
AR,2001,43.5
AR,2002,44.2
AR,2003,42.7
AR,2004,45.8
AR,2005,47.5
AR,2006,47.2
AR,2007,46.8
AR,2008,44.8
AR,2009,46.1
AR,2010,41.2
AR,2011,44.7
AR,2012,51.3
AR,2013,44.0
AZ,1999,48.8
AZ,2000,48.2
AZ,2001,45.4
AZ,2002,46.1
AZ,2003,48.3
AZ,2004,47.7
AZ,2005,47.1
AZ,2006,46.7
AZ,2007,46.7
AZ,2008,45.6
AZ,2009,48.1
AZ,2010,45.2
AZ,2011,45.5
AZ,2012,47.5
AZ,2013,45.2
CA,1999,45.8
CA,2000,47.7
CA,2001,46.0
CA,2002,46.4
CA,2003,49.0
CA,2004,48.2
CA,2005,47.4
CA,2006,45.4
CA,2007,47.6
CA,2008,45.7
CA,2009,47.1
CA,2010,47.0
CA,2011,45.8
CA,2012,47.3
CA,2013,47.1
CO,1999,34.1
CO,2000,33.3
CO,2001,29.7
CO,2002,28.2
CO,2003,31.5
CO,2004,31.5
CO,2005,32.2
CO,2006,30.9
CO,2007,29.2
CO,2008,27.5
CO,2009,32.5
CO,2010,28.6
CO,2011,28.6
CO,2012,32.9
CO,2013,27.9
CT,1999,32.2
CT,2000,32.6
CT,2001,29.8
CT,2002,35.3
CT,2003,27.1
CT,2004,28.4
CT,2005,28.8
CT,2006,33.3
CT,2007,29.9
CT,2008,32.0
CT,2009,29.3
CT,2010,33.3
CT,2011,29.1
CT,2012,37.5
CT,2013,31.3
DC,1999,37.9
DC,2000,39.8
DC,2001,37.0
DC,2002,41.1
DC,2003,34.3
DC,2004,36.3
DC,2005,37.7
DC,2006,41.2
DC,2007,38.0
DC,2008,39.6
DC,2009,37.1
DC,2010,37.9
DC,2011,37.4
DC,2012,44.3
DC,2013,37.6
DE,1999,39.5
DE,2000,40.4
DE,2001,37.6
DE,2002,42.4
DE,2003,35.6
DE,2004,37.0
DE,2005,37.0
DE,2006,41.3
DE,2007,38.3
DE,2008,40.5
DE,2009,37.5
DE,2010,37.6
DE,2011,37.7
DE,2012,44.3
DE,2013,37.9
FL,1999,61.7
FL,2000,62.2
FL,2001,60.8
FL,2002,61.8
FL,2003,61.1
FL,2004,60.6
FL,2005,61.3
FL,2006,61.3
FL,2007,61.9
FL,2008,62.0
FL,2009,60.0
FL,2010,54.7
FL,2011,61.1
FL,2012,64.6
FL,2013,61.6
GA,1999,51.7
GA,2000,52.3
GA,2001,50.2
GA,2002,51.1
GA,2003,50.1
GA,2004,50.0
GA,2005,51.4
GA,2006,51.8
GA,2007,52.0
GA,2008,50.4
GA,2009,50.1
GA,2010,45.3
GA,2011,50.2
GA,2012,55.9
GA,2013,50.5
IA,1999,28.7
IA,2000,32.4
IA,2001,23.0
IA,2002,29.8
IA,2003,24.9
IA,2004,27.1
IA,2005,28.7
IA,2006,31.3
IA,2007,26.3
IA,2008,22.1
IA,2009,25.7
IA,2010,23.1
IA,2011,24.2
IA,2012,35.9
